elapsed_s,cycle,locked_joint,phase,locked_deg,drift_deg,max_temp_c
4.0,1,J2,loaded_hold,1.14,0.09,35
13.1,2,J3,loaded_hold,0.53,0.53,35
22.2,3,J4,loaded_hold,-0.70,0.44,35
31.2,4,J2,loaded_hold,0.79,0.53,35
40.3,5,J3,loaded_hold,0.00,0.18,35
49.4,6,J4,loaded_hold,-1.05,0.35,35
58.4,7,J2,loaded_hold,-0.18,0.18,35
67.5,8,J3,loaded_hold,0.18,0.53,35
76.6,9,J4,loaded_hold,-0.70,0.35,35
85.6,10,J2,loaded_hold,0.79,0.44,35
94.7,11,J3,loaded_hold,-0.35,0.53,35
103.8,12,J4,loaded_hold,-1.05,0.35,35
112.8,13,J2,loaded_hold,-0.09,0.09,35
121.9,14,J3,loaded_hold,0.70,0.53,35
131.0,15,J4,loaded_hold,-0.70,0.18,35
140.1,16,J2,loaded_hold,0.26,1.76,35
149.1,17,J3,loaded_hold,0.00,0.18,35
158.2,18,J4,loaded_hold,-1.05,0.35,35
167.3,19,J2,loaded_hold,-0.09,0.09,35
176.3,20,J3,loaded_hold,0.53,1.05,35
185.4,21,J4,loaded_hold,-0.70,0.18,35
194.5,22,J2,loaded_hold,0.09,1.76,35
203.5,23,J3,loaded_hold,-0.35,0.18,35
212.6,24,J4,loaded_hold,-1.05,0.35,35
221.7,25,J2,loaded_hold,-0.44,2.11,35
