"adaptation_seconds","best_validation_loss","domain","eval_nll","eval_rmse","evaluation_block_displacement_m","evaluation_contact_steps","initial_validation_loss","model","multi_step_rmse","optimization_steps","residual","residual_norm","rolled_back","seed","shots","topology","sweep_config"
"0.0","","D2__mixed_composition","-38.09691619873047","0.05788710340857506","0.06072398458379948","101","","topology_only","0.46744173765182495","","mixed_composition","0.0","","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-39.99394607543945","0.05379655212163925","0.06072398458379948","101","","dfwm","0.49836498498916626","0","mixed_composition","0.0","False","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-38.84326171875","0.05182860791683197","0.06072398458379948","101","","residual_only","0.4092956483364105","","mixed_composition","0.0","","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-37.93064880371094","0.05424141138792038","0.06072398458379948","101","","monolithic_matched","0.5722121000289917","","mixed_composition","0.0","","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-34.228824615478516","0.05678529292345047","0.06072398458379948","101","","history_encoder","0.5415359735488892","","mixed_composition","0.0","","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-39.624664306640625","0.05376120284199715","0.06072398458379948","101","","parameter_matched","0.5861814022064209","","mixed_composition","0.0","","7","0","D2","history_w1"
"0.0","","D2__mixed_composition","-38.09691619873047","0.05788710340857506","0.06072398458379948","101","","topology_only","0.46744173765182495","","mixed_composition","0.0","","7","1","D2","history_w1"
"9.835071500012418","-31.77574951171875","D2__mixed_composition","-40.17817306518555","0.0533321388065815","0.06072398458379948","101","-31.68423095703125","dfwm","0.4936145842075348","20","mixed_composition","0.47694581747055054","False","7","1","D2","history_w1"
"6.655183299997589","","D2__mixed_composition","-38.595672607421875","0.053250789642333984","0.06072398458379948","101","","residual_only","0.3886393904685974","","mixed_composition","1.1271090507507324","","7","1","D2","history_w1"
"6.570807100011734","","D2__mixed_composition","-37.259910583496094","0.057749420404434204","0.06072398458379948","101","","monolithic_matched","0.6091524362564087","","mixed_composition","3.14345645904541","","7","1","D2","history_w1"
"0.0005985999887343496","","D2__mixed_composition","-36.96989822387695","0.054966263473033905","0.06072398458379948","101","","history_encoder","0.5553037524223328","","mixed_composition","1.027198314666748","","7","1","D2","history_w1"
"6.535238800017396","","D2__mixed_composition","-39.47449493408203","0.055556051433086395","0.06072398458379948","101","","parameter_matched","0.5727573037147522","","mixed_composition","3.6337149143218994","","7","1","D2","history_w1"
"0.0","","D2__mixed_composition","-38.09691619873047","0.05788710340857506","0.06072398458379948","101","","topology_only","0.46744173765182495","","mixed_composition","0.0","","7","2","D2","history_w1"
"13.855951399978949","-31.7886474609375","D2__mixed_composition","-40.18183135986328","0.05332998186349869","0.06072398458379948","101","-31.68423095703125","dfwm","0.49318012595176697","20","mixed_composition","0.45709899067878723","False","7","2","D2","history_w1"
"12.695232800004305","","D2__mixed_composition","-38.473411560058594","0.05354982241988182","0.06072398458379948","101","","residual_only","0.3868284821510315","","mixed_composition","1.195485234260559","","7","2","D2","history_w1"
"13.387157799996203","","D2__mixed_composition","-37.28043746948242","0.057735640555620193","0.06072398458379948","101","","monolithic_matched","0.6095272898674011","","mixed_composition","3.145988941192627","","7","2","D2","history_w1"
"0.0006986999942455441","","D2__mixed_composition","-37.17865753173828","0.05488700047135353","0.06072398458379948","101","","history_encoder","0.5560794472694397","","mixed_composition","1.1277754306793213","","7","2","D2","history_w1"
"13.15131400001701","","D2__mixed_composition","-39.44027328491211","0.05553711578249931","0.06072398458379948","101","","parameter_matched","0.5718847513198853","","mixed_composition","3.8749115467071533","","7","2","D2","history_w1"
