seed,domain,target,success,steps,final_distance_m,ik_error_m,horizon,candidates,perturb_std
7,D2__mixed_composition,eval_00,1,70,0.04902393147325939,0.03122299013575141,3,24,0.06
7,D2__mixed_composition,eval_01,1,68,0.04973355863787409,0.0006167536027785214,3,24,0.06
7,D2__mixed_composition,eval_02,1,79,0.04836587941773322,0.020567889338314396,3,24,0.06
7,D2__mixed_composition,eval_03,1,52,0.049326020268770865,0.000521254866033811,3,24,0.06
7,D3__mixed_composition,eval_00,1,85,0.04878886325598627,0.0002762752459681311,3,24,0.06
7,D3__mixed_composition,eval_01,1,74,0.04890132691153221,0.00012004065162732294,3,24,0.06
7,D3__mixed_composition,eval_02,1,88,0.048499010659532694,0.0069392058794909665,3,24,0.06
7,D3__mixed_composition,eval_03,1,66,0.04775963762858628,0.0009343677897875361,3,24,0.06
