domain,target,ik_error_m,success,steps,final_distance_m
D2__mixed_composition,eval_00,0.03122299013575141,1,74,0.04994194631903911
D2__mixed_composition,eval_01,0.0006167536027785214,1,67,0.04933750942582995
D2__mixed_composition,eval_02,0.020567889338314396,1,83,0.049732249428414914
D2__mixed_composition,eval_03,0.000521254866033811,1,46,0.04780641136164128
D3__mixed_composition,eval_00,0.0002762752459681311,1,82,0.048539043646070944
D3__mixed_composition,eval_01,0.00012004065162732294,1,75,0.04955357960662361
D3__mixed_composition,eval_02,0.0069392058794909665,1,88,0.048442974584938125
D3__mixed_composition,eval_03,0.0009343677897875361,1,68,0.048484302047519384
