seed,domain,target,shots,success,steps,final_distance_m,ik_error_m
17,D2__mixed_composition,eval_00,0,1,73,0.04974438944322964,0.03122299013575141
17,D2__mixed_composition,eval_01,0,1,67,0.04776004095596238,0.0006167536027785214
17,D2__mixed_composition,eval_02,0,1,83,0.04800938183712078,0.020567889338314396
17,D2__mixed_composition,eval_03,0,1,45,0.04841636010032413,0.000521254866033811
17,D2__mixed_composition,eval_00,5,1,73,0.04995600409426116,0.03122299013575141
17,D2__mixed_composition,eval_01,5,1,67,0.04801878775986799,0.0006167536027785214
17,D2__mixed_composition,eval_02,5,1,83,0.048152358081258353,0.020567889338314396
17,D2__mixed_composition,eval_03,5,1,45,0.048645818519696155,0.000521254866033811
17,D3__mixed_composition,eval_00,0,1,81,0.04850449792561952,0.0002762752459681311
17,D3__mixed_composition,eval_01,0,1,74,0.049571678913479335,0.00012004065162732294
17,D3__mixed_composition,eval_02,0,1,87,0.04805942449718452,0.0069392058794909665
17,D3__mixed_composition,eval_03,0,1,67,0.04870901732095508,0.0009343677897875361
17,D3__mixed_composition,eval_00,5,1,81,0.04866248243886039,0.0002762752459681311
17,D3__mixed_composition,eval_01,5,1,74,0.049776148454364184,0.00012004065162732294
17,D3__mixed_composition,eval_02,5,1,87,0.048193191127924986,0.0069392058794909665
17,D3__mixed_composition,eval_03,5,1,67,0.04884189226273212,0.0009343677897875361
