adaptation_seconds,domain,eval_nll,eval_rmse,model,multi_step_rmse,residual,residual_norm,seed,shots,topology
0.0,D2__mixed_composition,-41.27923583984375,0.03372505307197571,topology_only,0.16203740239143372,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-43.03643798828125,0.0329667292535305,dfwm,0.13166850805282593,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-49.63480758666992,0.0313836932182312,residual_only,0.11996160447597504,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-47.86233901977539,0.03425837680697441,monolithic_matched,0.1258881539106369,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-44.1889533996582,0.03785413131117821,history_encoder,0.19106321036815643,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-45.529239654541016,0.0330442413687706,parameter_matched,0.13060766458511353,mixed_composition,0.0,7,0,D2
0.0,D2__mixed_composition,-41.27923583984375,0.03372505307197571,topology_only,0.16203740239143372,mixed_composition,0.0,7,1,D2
11.661466599995038,D2__mixed_composition,-43.8701171875,0.0335020050406456,dfwm,0.1317865550518036,mixed_composition,1.392411470413208,7,1,D2
14.04859099999885,D2__mixed_composition,-50.21194839477539,0.031129414215683937,residual_only,0.1213291734457016,mixed_composition,0.28362634778022766,7,1,D2
14.221584099999745,D2__mixed_composition,-48.28988265991211,0.03434189036488533,monolithic_matched,0.12054333835840225,mixed_composition,0.8738202452659607,7,1,D2
0.001465299996198155,D2__mixed_composition,-46.61374282836914,0.03460565581917763,history_encoder,0.17134512960910797,mixed_composition,0.86139976978302,7,1,D2
10.082024099989212,D2__mixed_composition,-46.10124588012695,0.03283524885773659,parameter_matched,0.12607192993164062,mixed_composition,1.838563323020935,7,1,D2
0.0,D2__mixed_composition,-41.27923583984375,0.03372505307197571,topology_only,0.16203740239143372,mixed_composition,0.0,7,2,D2
24.74778289999813,D2__mixed_composition,-43.862632751464844,0.03355897217988968,dfwm,0.13189953565597534,mixed_composition,1.5218061208724976,7,2,D2
28.26946450000105,D2__mixed_composition,-50.24460220336914,0.031116314232349396,residual_only,0.12270601838827133,mixed_composition,0.2962801158428192,7,2,D2
25.369946100006928,D2__mixed_composition,-48.34590530395508,0.03409412503242493,monolithic_matched,0.11969584226608276,mixed_composition,0.8707506656646729,7,2,D2
0.0006960999889997765,D2__mixed_composition,-46.592681884765625,0.034576497972011566,history_encoder,0.17141477763652802,mixed_composition,0.8584052920341492,7,2,D2
28.219817600009264,D2__mixed_composition,-46.14729309082031,0.03290204331278801,parameter_matched,0.12804478406906128,mixed_composition,2.209225654602051,7,2,D2
0.0,D2__mixed_composition,-41.27923583984375,0.03372505307197571,topology_only,0.16203740239143372,mixed_composition,0.0,7,5,D2
62.017071599999326,D2__mixed_composition,-43.878360748291016,0.03360781818628311,dfwm,0.13149696588516235,mixed_composition,1.5112261772155762,7,5,D2
65.32817989999603,D2__mixed_composition,-50.25218200683594,0.03115980140864849,residual_only,0.1228732243180275,mixed_composition,0.2892293334007263,7,5,D2
60.24252020000131,D2__mixed_composition,-48.342098236083984,0.0342409722507,monolithic_matched,0.11990737915039062,mixed_composition,0.8585614562034607,7,5,D2
0.004960400008712895,D2__mixed_composition,-46.649749755859375,0.0345456637442112,history_encoder,0.17049604654312134,mixed_composition,0.8521214723587036,7,5,D2
65.99167370000214,D2__mixed_composition,-46.140254974365234,0.03285393491387367,parameter_matched,0.1276751160621643,mixed_composition,1.853293776512146,7,5,D2
0.0,D3__mixed_composition,-41.954505920410156,0.035886283963918686,topology_only,0.2064661979675293,mixed_composition,0.0,7,0,D3
