adaptation_seconds,domain,eval_nll,eval_rmse,model,residual,residual_norm,seed,shots,topology
0.0,D2__mixed_unseen,-25.88602066040039,0.07167871296405792,topology_only,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-25.866554260253906,0.07094717025756836,dfwm,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-26.238073348999023,0.07003822922706604,residual_only,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-25.621702194213867,0.06997789442539215,monolithic_matched,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-26.853925704956055,0.0662405714392662,history_encoder,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-26.174909591674805,0.07312432676553726,parameter_matched,mixed_unseen,0.0,7,0,D2
0.0,D2__mixed_unseen,-25.88602066040039,0.07167871296405792,topology_only,mixed_unseen,0.0,7,1,D2
7.5636193999962416,D2__mixed_unseen,-26.134212493896484,0.07101159542798996,dfwm,mixed_unseen,3.515928268432617,7,1,D2
7.521804699994391,D2__mixed_unseen,-26.65576934814453,0.07156714797019958,residual_only,mixed_unseen,2.0371603965759277,7,1,D2
7.552929400000721,D2__mixed_unseen,-24.949953079223633,0.07109666615724564,monolithic_matched,mixed_unseen,1.378420114517212,7,1,D2
0.00043539999751374125,D2__mixed_unseen,-27.314590454101562,0.066374272108078,history_encoder,mixed_unseen,1.05520498752594,7,1,D2
7.542826799995964,D2__mixed_unseen,-25.454811096191406,0.07633544504642487,parameter_matched,mixed_unseen,6.4701247215271,7,1,D2
0.0,D2__mixed_unseen,-25.88602066040039,0.07167871296405792,topology_only,mixed_unseen,0.0,7,2,D2
15.03954359999625,D2__mixed_unseen,-26.249662399291992,0.07112282514572144,dfwm,mixed_unseen,3.4984028339385986,7,2,D2
15.089496600005077,D2__mixed_unseen,-26.241914749145508,0.07033945620059967,residual_only,mixed_unseen,1.486528992652893,7,2,D2
15.01580669998657,D2__mixed_unseen,-25.02373504638672,0.07050685584545135,monolithic_matched,mixed_unseen,1.2524023056030273,7,2,D2
0.0004754000110551715,D2__mixed_unseen,-27.313858032226562,0.06635528802871704,history_encoder,mixed_unseen,1.1842714548110962,7,2,D2
14.94305670002359,D2__mixed_unseen,-25.71099853515625,0.07444009929895401,parameter_matched,mixed_unseen,4.9207563400268555,7,2,D2
0.0,D2__mixed_unseen,-25.88602066040039,0.07167871296405792,topology_only,mixed_unseen,0.0,7,5,D2
37.41104060001089,D2__mixed_unseen,-26.278087615966797,0.07119254767894745,dfwm,mixed_unseen,3.288902521133423,7,5,D2
38.28483670001151,D2__mixed_unseen,-26.415189743041992,0.0702919065952301,residual_only,mixed_unseen,1.0506891012191772,7,5,D2
39.50778580000042,D2__mixed_unseen,-25.232088088989258,0.07041703164577484,monolithic_matched,mixed_unseen,1.4290090799331665,7,5,D2
0.0004566999850794673,D2__mixed_unseen,-27.320472717285156,0.06631110608577728,history_encoder,mixed_unseen,1.0230369567871094,7,5,D2
37.8527097000042,D2__mixed_unseen,-26.094158172607422,0.07361810654401779,parameter_matched,mixed_unseen,5.016864776611328,7,5,D2
0.0,D3__mixed_unseen,-24.4102725982666,0.07206209748983383,topology_only,mixed_unseen,0.0,7,0,D3
