"adaptation_seconds","best_validation_loss","domain","eval_nll","eval_rmse","evaluation_block_displacement_m","evaluation_contact_steps","initial_validation_loss","model","multi_step_rmse","optimization_steps","residual","residual_norm","rolled_back","seed","shots","topology","sweep_config"
"0.0","","D2__mixed_composition","-38.03566360473633","0.0579444095492363","0.06072398458379948","101","","topology_only","0.4682084023952484","","mixed_composition","0.0","","7","0","D2","embedding_w0.1"
"0.0","","D2__mixed_composition","-39.97222137451172","0.05378470942378044","0.06072398458379948","101","","dfwm","0.4981181025505066","0","mixed_composition","0.0","False","7","0","D2","embedding_w0.1"
"0.0","","D2__mixed_composition","-38.03566360473633","0.0579444095492363","0.06072398458379948","101","","topology_only","0.4682084023952484","","mixed_composition","0.0","","7","1","D2","embedding_w0.1"
"8.68563659999927","-31.7384033203125","D2__mixed_composition","-40.13954544067383","0.05333692580461502","0.06072398458379948","101","-31.6581201171875","dfwm","0.4931243360042572","20","mixed_composition","0.4712807238101959","False","7","1","D2","embedding_w0.1"
"0.0","","D2__mixed_composition","-38.03566360473633","0.0579444095492363","0.06072398458379948","101","","topology_only","0.4682084023952484","","mixed_composition","0.0","","7","2","D2","embedding_w0.1"
"13.076226999997743","-31.75865234375","D2__mixed_composition","-40.147735595703125","0.05333200842142105","0.06072398458379948","101","-31.6581201171875","dfwm","0.4924103617668152","20","mixed_composition","0.44865643978118896","False","7","2","D2","embedding_w0.1"
"0.0","","D2__mixed_composition","-38.03566360473633","0.0579444095492363","0.06072398458379948","101","","topology_only","0.4682084023952484","","mixed_composition","0.0","","7","5","D2","embedding_w0.1"
"36.232753599993885","-31.78451416015625","D2__mixed_composition","-40.1685905456543","0.05328407138586044","0.06072398458379948","101","-31.6581201171875","dfwm","0.49294814467430115","20","mixed_composition","0.407406747341156","False","7","5","D2","embedding_w0.1"
"0.0","","D3__mixed_composition","-35.382568359375","0.06133187189698219","0.013306613433560757","7","","topology_only","0.4722546935081482","","mixed_composition","0.0","","7","0","D3","embedding_w0.1"
"0.0","","D3__mixed_composition","-35.30183410644531","0.056656789034605026","0.013306613433560757","7","","dfwm","0.5093742609024048","0","mixed_composition","0.0","False","7","0","D3","embedding_w0.1"
"0.0","","D3__mixed_composition","-35.382568359375","0.06133187189698219","0.013306613433560757","7","","topology_only","0.4722546935081482","","mixed_composition","0.0","","7","1","D3","embedding_w0.1"
"9.234265699997195","-33.0988916015625","D3__mixed_composition","-35.04091262817383","0.056795716285705566","0.013306613433560757","7","-32.7088916015625","dfwm","0.5165154933929443","20","mixed_composition","0.4932543635368347","False","7","1","D3","embedding_w0.1"
"0.0","","D3__mixed_composition","-35.382568359375","0.06133187189698219","0.013306613433560757","7","","topology_only","0.4722546935081482","","mixed_composition","0.0","","7","2","D3","embedding_w0.1"
