seed,domain,target,shots,success,steps,final_distance_m,ik_error_m
27,D2__mixed_composition,eval_00,0,1,73,0.04984411884456375,0.03122299013575141
27,D2__mixed_composition,eval_01,0,1,67,0.048305329100419736,0.0006167536027785214
27,D2__mixed_composition,eval_02,0,1,82,0.04995906022364672,0.020567889338314396
27,D2__mixed_composition,eval_03,0,1,45,0.049170440101916256,0.000521254866033811
27,D2__mixed_composition,eval_00,5,1,73,0.04994616188372644,0.03122299013575141
27,D2__mixed_composition,eval_01,5,1,67,0.0483897779314255,0.0006167536027785214
27,D2__mixed_composition,eval_02,5,1,83,0.048051719313174396,0.020567889338314396
27,D2__mixed_composition,eval_03,5,1,45,0.04924080447091977,0.000521254866033811
27,D3__mixed_composition,eval_00,0,1,81,0.04895399130239613,0.0002762752459681311
27,D3__mixed_composition,eval_01,0,1,75,0.04727971041753825,0.00012004065162732294
27,D3__mixed_composition,eval_02,0,1,87,0.048894720188485695,0.0069392058794909665
27,D3__mixed_composition,eval_03,0,1,67,0.04926540882371237,0.0009343677897875361
27,D3__mixed_composition,eval_00,5,1,81,0.0489505245834638,0.0002762752459681311
27,D3__mixed_composition,eval_01,5,1,75,0.04729070179165771,0.00012004065162732294
27,D3__mixed_composition,eval_02,5,1,87,0.048875016150059465,0.0069392058794909665
27,D3__mixed_composition,eval_03,5,1,67,0.04930112114323744,0.0009343677897875361
