seed,target,nominal,guarded,improvement_pct
7,legacy_0,0.0279123344805593,0.0236968565945266,15.102562951044977
7,push_eval_01,0.0257749595457178,0.0203982354854089,20.860261878479562
7,push_eval_02,0.0266899205810402,0.0256268169006407,3.9831653944849132
7,push_val_00,0.0239841262215454,0.0293269713484326,-22.276588596701167
7,push_val_01,0.0232718696712455,0.0192257737947066,17.386208902408118
17,push_eval_00,0.0279123344805593,0.0221792950481079,20.539448022322933
17,push_eval_01,0.0257749595457178,0.0177474907167562,31.14444783016262
17,push_eval_02,0.0266899205810402,0.0132336074614416,50.417209293449915
17,push_val_00,0.0239841262215454,0.0255307443425187,-6.448507261373317
17,push_val_01,0.0232718696712455,0.0098774788635719,57.556143949291624
27,push_eval_00,0.0279123344805593,0.0267004187074174,4.341864611811638
27,push_eval_01,0.0257749595457178,0.0276171771628626,-7.147315261066484
27,push_eval_02,0.0266899205810402,0.0236968496967751,11.214236757194772
27,push_val_00,0.0239841262215454,0.0275325549008778,-14.794904957366247
27,push_val_01,0.0232718696712455,0.0221647422614799,4.757363397980676
