seed,domain,structured_rmse,ordinary_rmse,improvement_pct
17,D2__mixed_composition,0.44138047099113464,0.46456074714660645,4.989719062113647
17,D3__mixed_composition,0.38556498289108276,0.41787654161453247,7.732321751924351
27,D2__mixed_composition,0.5009239912033081,0.5043966174125671,0.6884713515869252
27,D3__mixed_composition,0.49042898416519165,0.4898983836174011,-0.1083082870926379
37,D2__mixed_composition,0.46821120381355286,0.4905409812927246,4.5520717596980385
37,D3__mixed_composition,0.38805070519447327,0.44026824831962585,11.860392686606758
47,D2__mixed_composition,0.6531263589859009,0.6226473450660706,-4.895068478385004
47,D3__mixed_composition,0.5871500968933105,0.5558456778526306,-5.631854359579919
7,D2__mixed_composition,0.40726137161254883,0.42230087518692017,3.5613242732955515
7,D3__mixed_composition,0.3428664803504944,0.34969472885131836,1.9526312344636967
