seed,domain,target,success,steps,final_distance_m,ik_error_m,horizon,candidates,perturb_std
27,D2__mixed_composition,eval_00,1,78,0.048641253425612485,0.03122299013575141,5,24,0.05
27,D2__mixed_composition,eval_01,1,79,0.04866724472106051,0.0006167536027785214,5,24,0.05
27,D2__mixed_composition,eval_02,1,86,0.04875022176748522,0.020567889338314396,5,24,0.05
27,D2__mixed_composition,eval_03,1,53,0.04797353466915483,0.000521254866033811,5,24,0.05
27,D3__mixed_composition,eval_00,1,87,0.04949566436316068,0.0002762752459681311,5,24,0.05
27,D3__mixed_composition,eval_01,1,78,0.04717753826120051,0.00012004065162732294,5,24,0.05
27,D3__mixed_composition,eval_02,1,94,0.047979279066275034,0.0069392058794909665,5,24,0.05
27,D3__mixed_composition,eval_03,1,70,0.049869329189777004,0.0009343677897875361,5,24,0.05
