command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
17,2026-09-05T05:01:52.524912+00:00,173273796000000,3.765000000,fixed_trajectory,0.246093750,0,4,2088,2641,2612,2709,2073
18,2026-09-05T05:01:52.711089+00:00,173273984000000,3.953000000,fixed_trajectory,0.263671875,0,3;4,2088,2641,2613,2708,2073
19,2026-09-05T05:01:52.745063+00:00,173274015000000,3.984000000,fixed_trajectory,0.281250000,0,4,2088,2641,2613,2707,2073
20,2026-09-05T05:01:52.786995+00:00,173274062000000,4.031000000,fixed_trajectory,0.298828125,0,3;4,2088,2641,2614,2706,2073
21,2026-09-05T05:01:52.826679+00:00,173274109000000,4.078000000,fixed_trajectory,0.316406250,0,4,2088,2641,2614,2705,2073
22,2026-09-05T05:01:52.887083+00:00,173274156000000,4.125000000,fixed_trajectory,0.333984375,0,4,2088,2641,2614,2704,2073
23,2026-09-05T05:01:52.926667+00:00,173274203000000,4.172000000,fixed_trajectory,0.351562500,0,1;3;4,2087,2641,2615,2703,2073
24,2026-09-05T05:01:52.979948+00:00,173274250000000,4.219000000,fixed_trajectory,0.369140625,0,4,2087,2641,2615,2702,2073
25,2026-09-05T05:01:53.029264+00:00,173274296000000,4.265000000,fixed_trajectory,0.386718750,0,4,2087,2641,2615,2701,2073
26,2026-09-05T05:01:53.092141+00:00,173274359000000,4.328000000,fixed_trajectory,0.404296875,0,3;4,2087,2641,2616,2700,2073
27,2026-09-05T05:01:53.129172+00:00,173274406000000,4.375000000,fixed_trajectory,0.421875000,0,4,2087,2641,2616,2699,2073
28,2026-09-05T05:01:53.324582+00:00,173274593000000,4.562000000,fixed_trajectory,0.439453125,0,3;4,2087,2641,2617,2698,2073
29,2026-09-05T05:01:53.361146+00:00,173274640000000,4.609000000,fixed_trajectory,0.457031250,0,4,2087,2641,2617,2697,2073
30,2026-09-05T05:01:56.475665+00:00,173277750000000,7.719000000,fixed_trajectory,0.017578125,1,4,2087,2641,2617,2696,2073
31,2026-09-05T05:01:56.513959+00:00,173277781000000,7.750000000,fixed_trajectory,0.035156250,1,3;4,2087,2641,2618,2695,2073
32,2026-09-05T05:01:56.561094+00:00,173277843000000,7.812000000,fixed_trajectory,0.052734375,1,4,2087,2641,2618,2694,2073
33,2026-09-05T05:01:56.622767+00:00,173277890000000,7.859000000,fixed_trajectory,0.070312500,1,3;4,2087,2641,2619,2693,2073
34,2026-09-05T05:01:56.663017+00:00,173277937000000,7.906000000,fixed_trajectory,0.087890625,1,4,2087,2641,2619,2692,2073
35,2026-09-05T05:01:56.725564+00:00,173278000000000,7.969000000,fixed_trajectory,0.105468750,1,4,2087,2641,2619,2691,2073
36,2026-09-05T05:01:56.763686+00:00,173278031000000,8.000000000,fixed_trajectory,0.123046875,1,3;4,2087,2641,2620,2690,2073
37,2026-09-05T05:01:56.823345+00:00,173278093000000,8.062000000,fixed_trajectory,0.140625000,1,4,2087,2641,2620,2689,2073
38,2026-09-05T05:01:56.866526+00:00,173278140000000,8.109000000,fixed_trajectory,0.158203125,1,4,2087,2641,2620,2688,2073
39,2026-09-05T05:01:57.055149+00:00,173278328000000,8.297000000,fixed_trajectory,0.175781250,1,3;4,2087,2641,2621,2687,2073
40,2026-09-05T05:01:57.090315+00:00,173278359000000,8.328000000,fixed_trajectory,0.193359375,1,4,2087,2641,2621,2686,2073
41,2026-09-05T05:01:57.124046+00:00,173278406000000,8.375000000,fixed_trajectory,0.210937500,1,3;4,2087,2641,2622,2685,2073
42,2026-09-05T05:01:57.171943+00:00,173278453000000,8.422000000,fixed_trajectory,0.228515625,1,4,2087,2641,2622,2684,2073
43,2026-09-05T05:01:57.218499+00:00,173278500000000,8.469000000,fixed_trajectory,0.246093750,1,4,2087,2641,2622,2683,2073
44,2026-09-05T05:01:57.279028+00:00,173278546000000,8.515000000,fixed_trajectory,0.263671875,1,3;4,2087,2641,2623,2682,2073
45,2026-09-05T05:01:57.319301+00:00,173278593000000,8.562000000,fixed_trajectory,0.281250000,1,4,2087,2641,2623,2681,2073
46,2026-09-05T05:01:57.391015+00:00,173278671000000,8.640000000,fixed_trajectory,0.298828125,1,4,2087,2641,2623,2680,2073
47,2026-09-05T05:01:57.562928+00:00,173278843000000,8.812000000,fixed_trajectory,0.316406250,1,3;4,2087,2641,2624,2679,2073
